metric_name,precision,recall,f1
page_load_1,0.6,0.6923076923076923,0.6428571428571429
page_load_2,0.6153846153846154,0.7272727272727273,0.6666666666666667
page_load_3,0.5333333333333333,1.0,0.6956521739130436
page_load_4,0.5,0.625,0.5555555555555556
page_load_5,0.6428571428571429,0.75,0.6923076923076924
page_load_6,0.4666666666666667,0.5833333333333334,0.5185185185185186
page_load_7,0.4,0.5,0.4444444444444445
page_load_8,0.6842105263157895,0.7647058823529411,0.7222222222222222
page_load_9,0.4,1.0,0.5714285714285715
page_load_10,0.6,0.6923076923076923,0.6428571428571429
page_load_11,0.5789473684210527,0.7857142857142857,0.6666666666666667
page_load_12,0.4,1.0,0.5714285714285715
page_load_13,1.0,1.0,1.0
page_load_14,0.4,0.3076923076923077,0.34782608695652173
page_load_15,0.5,0.5,0.5
page_load_16,0.5,1.0,0.6666666666666666
page_load_17,0.7142857142857143,1.0,0.8333333333333333
page_load_18,0.5,0.45454545454545453,0.47619047619047616
page_load_19,0.5714285714285714,0.7272727272727273,0.64
page_load_20,0.45454545454545453,0.38461538461538464,0.41666666666666663
page_load_21,0.36363636363636365,1.0,0.5333333333333333
page_load_22,0.4,1.0,0.5714285714285715
page_load_23,0.5,0.5555555555555556,0.5263157894736842
page_load_24,0.3,1.0,0.4615384615384615
page_load_25,0.45454545454545453,1.0,0.625
page_load_26,0.5,1.0,0.6666666666666666
page_load_27,0.5714285714285714,1.0,0.7272727272727273
page_load_28,0.5,0.5555555555555556,0.5263157894736842
page_load_29,0.6,1.0,0.7499999999999999
page_load_30,0.4166666666666667,0.5555555555555556,0.4761904761904762
page_load_31,0.42857142857142855,1.0,0.6
page_load_32,0.5,0.4166666666666667,0.45454545454545453
page_load_33,0.5,1.0,0.6666666666666666
page_load_34,0.5714285714285714,0.7272727272727273,0.64
page_load_35,0.3333333333333333,0.3,0.3157894736842105
page_load_36,0.42857142857142855,1.0,0.6
page_load_37,0.4666666666666667,1.0,0.6363636363636364
page_load_38,0.5,0.38461538461538464,0.4347826086956522
page_load_39,0.5333333333333333,0.6153846153846154,0.5714285714285715
page_load_40,0.6428571428571429,1.0,0.782608695652174
page_load_41,0.4,1.0,0.5714285714285715
page_load_42,0.4,0.4444444444444444,0.4210526315789474
page_load_43,0.5,1.0,0.6666666666666666
page_load_44,0.5333333333333333,1.0,0.6956521739130436
page_load_45,0.5,0.45454545454545453,0.47619047619047616
page_load_46,0.36363636363636365,0.5714285714285714,0.4444444444444444
page_load_47,0.5,1.0,0.6666666666666666
page_load_48,1.0,1.0,1.0
page_load_49,0.45454545454545453,0.5555555555555556,0.5
page_load_50,0.2727272727272727,1.0,0.42857142857142855
