metric_name,precision,recall,f1
latency_1,0.6923076923076923,1.0,0.8181818181818181
latency_2,0.7142857142857143,1.0,0.8333333333333333
latency_3,0.6923076923076923,1.0,0.8181818181818181
latency_4,0.6428571428571429,0.6923076923076923,0.6666666666666666
latency_5,0.5,1.0,0.6666666666666666
latency_6,0.375,0.42857142857142855,0.39999999999999997
latency_7,0.4,0.4,0.4000000000000001
latency_8,0.4166666666666667,1.0,0.5882352941176471
latency_9,0.5714285714285714,1.0,0.7272727272727273
latency_10,0.2727272727272727,1.0,0.42857142857142855
latency_11,0.6,0.375,0.4615384615384615
latency_12,0.6428571428571429,0.6428571428571429,0.6428571428571429
latency_13,0.4,1.0,0.5714285714285715
latency_14,0.4,1.0,0.5714285714285715
latency_15,0.5,1.0,0.6666666666666666
latency_16,0.5714285714285714,0.7272727272727273,0.64
latency_17,0.4666666666666667,0.875,0.608695652173913
latency_18,0.2727272727272727,1.0,0.42857142857142855
latency_19,0.6428571428571429,0.75,0.6923076923076924
latency_20,0.6666666666666666,0.8571428571428571,0.75
latency_21,0.4666666666666667,1.0,0.6363636363636364
latency_22,0.5333333333333333,1.0,0.6956521739130436
latency_23,0.5,1.0,0.6666666666666666
latency_24,0.6,1.0,0.7499999999999999
latency_25,0.5714285714285714,1.0,0.7272727272727273
latency_26,0.6,0.75,0.6666666666666665
latency_27,0.6428571428571429,1.0,0.782608695652174
latency_28,0.6428571428571429,1.0,0.782608695652174
latency_29,0.4,0.5,0.4444444444444445
latency_30,0.6,1.0,0.7499999999999999
latency_31,0.3333333333333333,1.0,0.5
latency_32,0.3,0.42857142857142855,0.3529411764705882
latency_33,0.6666666666666666,1.0,0.8
latency_34,0.5,1.0,0.6666666666666666
latency_35,0.5,0.6363636363636364,0.56
latency_36,0.5789473684210527,1.0,0.7333333333333334
latency_37,0.6,1.0,0.7499999999999999
latency_38,0.46153846153846156,0.6,0.5217391304347826
latency_39,0.5714285714285714,1.0,0.7272727272727273
latency_40,0.5333333333333333,0.6153846153846154,0.5714285714285715
latency_41,0.5,1.0,0.6666666666666666
latency_42,0.7368421052631579,1.0,0.8484848484848484
latency_43,0.5555555555555556,1.0,0.7142857142857143
latency_44,0.7058823529411765,1.0,0.8275862068965517
latency_45,0.3333333333333333,0.42857142857142855,0.375
latency_46,0.3,1.0,0.4615384615384615
latency_47,0.6666666666666666,0.7692307692307693,0.7142857142857142
latency_48,0.6666666666666666,0.6666666666666666,0.6666666666666666
latency_49,0.3,0.42857142857142855,0.3529411764705882
latency_50,0.45454545454545453,1.0,0.625
