metric_name,precision,recall,f1
real_0,0.4,1.0,0.5714285714285715
real_1,0.9285714285714286,1.0,0.962962962962963
real_2,1.0,0.7368421052631579,0.8484848484848484
real_3,0.4,1.0,0.5714285714285715
real_4,0.6428571428571429,1.0,0.782608695652174
real_5,0.15384615384615385,1.0,0.2666666666666667
real_6,0.5714285714285714,1.0,0.7272727272727273
real_7,0.6,1.0,0.7499999999999999
real_8,0.9556962025316456,0.6651982378854625,0.7844155844155843
real_9,0.3,1.0,0.4615384615384615
real_10,0.9141104294478528,0.6563876651982379,0.7641025641025642
real_11,0.7647058823529411,0.8125,0.787878787878788
real_12,0.4,0.06060606060606061,0.10526315789473685
real_13,0.35294117647058826,1.0,0.5217391304347826
real_14,0.8873239436619719,1.0,0.9402985074626865
real_15,0.6666666666666666,0.631578947368421,0.6486486486486486
real_16,1.0,0.875,0.9333333333333333
real_17,0.8431372549019608,1.0,0.9148936170212766
real_18,0.0,0.0,0.0
real_19,0.0,0.0,0.0
real_20,0.0,0.0,0.0
real_21,0.3333333333333333,0.7142857142857143,0.4545454545454545
real_22,1.0,0.9333333333333333,0.9655172413793104
real_23,0.6,1.0,0.7499999999999999
real_24,0.8421052631578947,0.6666666666666666,0.744186046511628
real_25,0.36,0.574468085106383,0.4426229508196721
real_26,0.4,1.0,0.5714285714285715
real_27,0.75,0.42857142857142855,0.5454545454545454
real_28,1.0,1.0,1.0
real_29,0.8,0.8,0.8000000000000002
real_30,0.2125,1.0,0.3505154639175258
real_31,0.4,0.6666666666666666,0.5
real_32,0.5714285714285714,0.8,0.6666666666666666
real_33,0.6,0.6,0.6
real_34,0.7075471698113207,0.9375,0.8064516129032258
real_35,0.2,1.0,0.33333333333333337
real_36,0.352,1.0,0.5207100591715976
real_37,0.42857142857142855,0.1111111111111111,0.17647058823529413
real_38,0.75,0.6666666666666666,0.7058823529411765
real_39,0.0,0.0,0.0
real_40,1.0,0.9724770642201835,0.986046511627907
real_41,0.2857142857142857,0.2,0.23529411764705882
real_42,0.16666666666666666,0.041666666666666664,0.06666666666666667
real_43,0.3,1.0,0.4615384615384615
real_44,0.4,1.0,0.5714285714285715
real_45,0.3181818181818182,1.0,0.4827586206896552
real_46,0.0,0.0,0.0
real_47,0.6153846153846154,0.7272727272727273,0.6666666666666667
real_48,1.0,0.8235294117647058,0.9032258064516129
real_49,1.0,1.0,1.0
real_50,0.0,0.0,0.0
real_51,0.0,0.0,0.0
real_52,0.0,0.0,0.0
real_53,0.8431372549019608,1.0,0.9148936170212766
real_54,1.0,1.0,1.0
real_55,1.0,1.0,1.0
real_56,0.4444444444444444,0.5,0.47058823529411764
real_57,0.05,0.041666666666666664,0.04545454545454545
real_58,0.4444444444444444,1.0,0.6153846153846153
real_59,1.0,1.0,1.0
real_60,0.0,0.0,0.0
real_61,0.3125,0.29411764705882354,0.30303030303030304
real_62,0.8333333333333334,0.7142857142857143,0.7692307692307692
real_63,0.9,0.782608695652174,0.8372093023255814
real_64,0.30303030303030304,0.7894736842105263,0.43795620437956206
real_65,0.5555555555555556,1.0,0.7142857142857143
real_66,0.35,0.875,0.4999999999999999
