metric_name,precision,recall,f1
memory_usage_1,0.6428571428571429,0.6923076923076923,0.6666666666666666
memory_usage_2,0.5333333333333333,0.6666666666666666,0.5925925925925926
memory_usage_3,0.6666666666666666,1.0,0.8
memory_usage_4,0.4444444444444444,0.5,0.47058823529411764
memory_usage_5,0.45454545454545453,1.0,0.625
memory_usage_6,0.5,1.0,0.6666666666666666
memory_usage_7,0.5,0.5454545454545454,0.5217391304347826
memory_usage_8,0.42857142857142855,1.0,0.6
memory_usage_9,0.5,0.35714285714285715,0.41666666666666663
memory_usage_10,0.4,1.0,0.5714285714285715
memory_usage_11,1.0,1.0,1.0
memory_usage_12,0.6666666666666666,1.0,0.8
memory_usage_13,0.5333333333333333,1.0,0.6956521739130436
memory_usage_14,0.36363636363636365,1.0,0.5333333333333333
memory_usage_15,1.0,1.0,1.0
memory_usage_16,0.5,0.7,0.5833333333333334
memory_usage_17,0.6,1.0,0.7499999999999999
memory_usage_18,0.16666666666666666,1.0,0.2857142857142857
memory_usage_19,0.6,0.6923076923076923,0.6428571428571429
memory_usage_20,0.4444444444444444,1.0,0.6153846153846153
memory_usage_21,0.6,0.75,0.6666666666666665
memory_usage_22,0.5714285714285714,1.0,0.7272727272727273
memory_usage_23,0.36363636363636365,1.0,0.5333333333333333
memory_usage_24,0.6428571428571429,0.75,0.6923076923076924
memory_usage_25,0.45454545454545453,1.0,0.625
memory_usage_26,0.4666666666666667,0.7,0.56
memory_usage_27,0.0,0.0,0.0
memory_usage_28,0.0,0.0,0.0
memory_usage_29,0.5,0.625,0.5555555555555556
memory_usage_30,0.45454545454545453,0.625,0.5263157894736842
memory_usage_31,0.7368421052631579,1.0,0.8484848484848484
memory_usage_32,0.5,0.5,0.5
memory_usage_33,0.5,0.5555555555555556,0.5263157894736842
memory_usage_34,0.4666666666666667,0.5384615384615384,0.5
memory_usage_35,0.3,0.25,0.2727272727272727
memory_usage_36,0.42857142857142855,1.0,0.6
memory_usage_37,0.5333333333333333,1.0,0.6956521739130436
memory_usage_38,0.4,0.5,0.4444444444444445
memory_usage_39,0.5333333333333333,0.7272727272727273,0.6153846153846153
memory_usage_40,0.7,0.875,0.7777777777777777
memory_usage_41,0.5333333333333333,0.6666666666666666,0.5925925925925926
memory_usage_42,0.4,0.6666666666666666,0.5
memory_usage_43,0.6842105263157895,1.0,0.8125000000000001
memory_usage_44,0.46153846153846156,1.0,0.631578947368421
memory_usage_45,0.6842105263157895,1.0,0.8125000000000001
memory_usage_46,0.36363636363636365,1.0,0.5333333333333333
memory_usage_47,0.7142857142857143,1.0,0.8333333333333333
memory_usage_48,0.5714285714285714,1.0,0.7272727272727273
memory_usage_49,0.5714285714285714,1.0,0.7272727272727273
memory_usage_50,0.5714285714285714,1.0,0.7272727272727273
