metric_name,precision,recall,f1
throughput_1,0.2727272727272727,1.0,0.42857142857142855
throughput_2,0.5,1.0,0.6666666666666666
throughput_3,0.4666666666666667,1.0,0.6363636363636364
throughput_4,0.7368421052631579,1.0,0.8484848484848484
throughput_5,0.2727272727272727,1.0,0.42857142857142855
throughput_6,0.5714285714285714,0.6666666666666666,0.6153846153846153
throughput_7,0.45454545454545453,1.0,0.625
throughput_8,0.6428571428571429,0.6923076923076923,0.6666666666666666
throughput_9,0.7142857142857143,0.6666666666666666,0.689655172413793
throughput_10,0.5714285714285714,1.0,0.7272727272727273
throughput_11,0.5555555555555556,1.0,0.7142857142857143
throughput_12,0.5333333333333333,0.7272727272727273,0.6153846153846153
throughput_13,0.6428571428571429,0.6923076923076923,0.6666666666666666
throughput_14,0.5,1.0,0.6666666666666666
throughput_15,0.5333333333333333,0.7272727272727273,0.6153846153846153
throughput_16,0.5333333333333333,1.0,0.6956521739130436
throughput_17,0.7777777777777778,0.7777777777777778,0.7777777777777778
throughput_18,0.7142857142857143,1.0,0.8333333333333333
throughput_19,0.6842105263157895,1.0,0.8125000000000001
throughput_20,0.36363636363636365,0.2857142857142857,0.32
throughput_21,0.42857142857142855,1.0,0.6
throughput_22,0.5,0.38461538461538464,0.4347826086956522
throughput_23,0.7142857142857143,1.0,0.8333333333333333
throughput_24,0.4,1.0,0.5714285714285715
throughput_25,0.2727272727272727,1.0,0.42857142857142855
throughput_26,0.6428571428571429,1.0,0.782608695652174
throughput_27,0.5,1.0,0.6666666666666666
throughput_28,0.375,1.0,0.5454545454545454
throughput_29,0.5333333333333333,0.7272727272727273,0.6153846153846153
throughput_30,1.0,1.0,1.0
throughput_31,0.6428571428571429,0.75,0.6923076923076924
throughput_32,0.5,1.0,0.6666666666666666
throughput_33,0.5333333333333333,1.0,0.6956521739130436
throughput_34,0.5333333333333333,1.0,0.6956521739130436
throughput_35,0.5714285714285714,1.0,0.7272727272727273
throughput_36,0.5714285714285714,0.7272727272727273,0.64
throughput_37,0.45454545454545453,0.5555555555555556,0.5
throughput_38,0.5555555555555556,1.0,0.7142857142857143
throughput_39,0.4666666666666667,0.7,0.56
throughput_40,0.4666666666666667,0.5833333333333334,0.5185185185185186
throughput_41,0.6,1.0,0.7499999999999999
throughput_42,0.5714285714285714,0.6153846153846154,0.5925925925925927
throughput_43,0.6842105263157895,0.8125,0.742857142857143
throughput_44,0.4,0.5,0.4444444444444445
throughput_45,0.2727272727272727,1.0,0.42857142857142855
throughput_46,0.3333333333333333,1.0,0.5
throughput_47,0.6428571428571429,1.0,0.782608695652174
throughput_48,0.5714285714285714,0.7272727272727273,0.64
throughput_49,0.6,1.0,0.7499999999999999
throughput_50,0.2727272727272727,1.0,0.42857142857142855
